tstep,year_vector,month_vector,arrowtooth_juv,arrowtooth_adu,atka,fh_sole,gr_turbot_juv,gr_turbot_adu,kamchatka,north_rockfish,octopus,oth_flatfish,oth_rockfish,pcod_juv,pcod_adu,ak_plaice,pac_ocean_perch,pollock_juv,pollock_adu,nr_sole,rougheye_rock,sablefish,sharks,shortraker_rock,skates,yf_sole,herring,halibut_juv,halibut_adu,lg_sculpins,squids,capelin,sandlance
45,1973,9,0.949667662,0.96201586,0.995058168,0.995058168,0.983972349,0.993966333,0.987289907,1.023142797,1.023688321,0.991818289,0.985625464,0.981341866,0.978782552,1.012741765,0.982011605,0.984079857,0.989460306,0.983317394,0.986620271,0.974399525,1.006907609,1.013049023,1.013049023,0.984522695,0.979207187,0.991069307,0.994722387,1.014530287,0.986554397,0.996330683,0.979836247
46,1973,10,0.951070461,0.9634369,0.993782107,0.993782107,0.982882618,0.992865534,0.986151674,1.020703927,1.022523667,0.991641443,0.985643664,0.981930385,0.979369537,1.010806328,0.980752274,0.983544756,0.988922279,0.983499722,0.98535503,0.974964228,1.00576052,1.01174989,1.01174989,0.983260145,0.978078272,0.99172275,0.995378239,1.012091641,0.985885088,0.99505299,0.978814132
47,1973,11,0.953656888,0.966056957,0.991446691,0.991446691,0.980887415,0.990850066,0.984067892,1.016250338,1.020391442,0.991315649,0.985675194,0.983043794,0.980480042,1.007268726,0.97844748,0.982611758,0.98798418,0.983865138,0.983039419,0.976011415,1.00366046,1.009372251,1.009372251,0.980949456,0.976011549,0.992951873,0.996611892,1.007638641,0.984658113,0.992714588,0.976942432
48,1973,12,0.967849235,0.980433842,0.97900431,0.97900431,0.97023982,0.980094326,0.972952568,0.992737557,1.009016019,0.989530919,0.985801382,0.989757453,0.987176192,0.988521115,0.966168235,0.978611516,0.983962066,0.986488451,0.970702547,0.981882368,0.992456804,0.996704909,0.996704909,0.968638813,0.964987224,1.000210421,1.003897195,0.984132773,0.978075909,0.980256295,0.966947357
49,1974,1,0.992328453,1.005231354,0.958818825,0.958818825,0.952900549,0.962578944,0.954870059,0.955343995,0.990504131,0.986440812,0.98583319,1.003374704,1.00075793,0.95846217,0.946247409,0.975315185,0.980647713,0.993054061,0.95068823,0.992401586,0.974225058,0.976154465,0.976154465,0.948667047,0.947052753,1.014427257,1.018166435,0.946762997,0.96722658,0.960044996,0.95064627
50,1974,2,1.024519545,1.037841016,0.934224092,0.934224092,0.931659189,0.94112184,0.932750598,0.911007024,0.967848464,0.982299531,0.985521471,1.024333888,1.021662453,0.922431417,0.921975146,0.975965125,0.981301206,1.004626142,0.926302056,1.006742074,0.951913326,0.951115055,0.951115055,0.924332718,0.925114378,1.035572277,1.039389396,0.902474122,0.953698278,0.93541881,0.930633515
51,1974,3,1.038536906,1.05204064,0.924076299,0.924076299,0.922856851,0.932230099,0.923595178,0.893099053,0.958467449,0.980455668,0.985262719,1.034326513,1.031629017,0.907755798,0.911960404,0.977549842,0.982894588,1.010462171,0.916240314,1.013103953,0.942675086,0.940783787,0.940783787,0.914292368,0.916033912,1.045447875,1.049301394,0.884591688,0.9480108,0.92525804,0.922325817
52,1974,4,1.030084452,1.043478282,0.930158652,0.930158652,0.928135496,0.937562358,0.929084791,0.903805824,0.96409259,0.981570834,0.985427566,1.028244638,1.025563004,0.916538626,0.917963009,0.976513456,0.981852535,1.006892569,0.92227109,1.009261122,0.948214589,0.946976111,0.946976111,0.920310322,0.921478582,1.039450399,1.043281812,0.895282767,0.951427392,0.931348171,0.92730887
53,1974,5,1.012746629,1.025915021,0.942995441,0.942995441,0.939249431,0.948789175,0.940650427,0.926666681,0.975941214,0.983827733,0.985681509,1.016322859,1.013672317,0.935206282,0.930631491,0.975192953,0.980524813,1.000070661,0.934999026,1.001446827,0.95988308,0.960044992,0.960044992,0.933011198,0.932949534,1.027568717,1.031356334,0.918114337,0.958563674,0.944201377,0.937790345
54,1974,6,0.993888499,1.006811685,0.957579973,0.957579973,0.951833666,0.961501225,0.95375821,0.95307879,0.989365622,0.986242582,0.985827286,1.004317483,1.00169825,0.95663166,0.9450248,0.975231442,0.980563512,0.993545846,0.949459883,0.993085276,0.973103804,0.974893214,0.974893214,0.947441311,0.945950006,1.015394352,1.019137094,0.944499729,0.966553494,0.958804559,0.94964225
55,1974,7,0.978778892,0.991505614,0.969809574,0.969809574,0.962351796,0.972126185,0.964723551,0.975590376,1.000592575,0.988155011,0.985844578,0.995548971,0.992952606,0.974774403,0.957094054,0.976645353,0.981985154,0.989135243,0.96158578,0.986526225,0.984160736,0.98734393,0.98734393,0.959541428,0.956825576,1.006321231,1.01003053,0.966994577,0.973160959,0.971049801,0.95953545
56,1974,8,0.96491934,0.977465851,0.981524011,0.981524011,0.972398499,0.98227493,0.975205389,0.9974702,1.011321789,0.989899265,0.985781823,0.988292589,0.985715148,0.992304159,0.968654899,0.979293611,0.984647891,0.985866764,0.973200881,0.98065443,0.994727734,0.999270166,0.999270166,0.971131835,0.967221602,0.998645335,1.002326341,0.988863517,0.97941514,0.982779218,0.968974649
57,1974,9,0.95507562,0.967494136,0.990174988,0.990174988,0.979800529,0.989752141,0.982932875,1.013830624,1.019229996,0.991137066,0.985691373,0.983669753,0.981104368,1.005344887,0.97719245,0.982128603,0.987498383,0.984081256,0.981778499,0.976589033,1.002516539,1.008077554,1.008077554,0.979691217,0.974885824,0.993639121,0.997301674,1.005219345,0.983988879,0.991441258,0.975922661
